pert_desc	pert_id	cell_id	pert_dose	pert_time	score	pubchem_id	overlap.up	overlap.down	targets
KIN001-043	BRD-K44100512	HS578T	10um	24h	0.0693	NA	ASS1, CADM1, CDCP1, ENPP2, MAF, MFAP5, NPTX2, SDC1, SLC38A1, SLC7A8, SOX4, TPBG, TRIB3, TRPS1	AKAP12, COL4A2, CXCL12, HES1, ILK, KRT7, LMOD1, MCAM, MYLK, NEDD9, OXTR, RGS4, SPP1, TAGLN, TPM2, VCL	NA
torin-2	BRD-K68174511	MDAMB231	3.33um	3h	0.0613	51358113	ASS1, C1S, CBLB, DCN, DDIT4, DHRS3, ENPP2, ISLR, ITPR3, KRT81, MFAP5, MXRA5, NFIB, SLC5A3, TNFAIP6, VEGFA	ARHGDIB, F2R, FHL1, FZD7, HSD17B6, JAG1, LRRN3, NR2F2, OXTR, PCDH7, PHLDA2, RAC2	Mtor, PIK3C3, PIK3CA, YES1
Dorsomorphin dihydrochloride	BRD-K54233340	A375	10.0um	24.0h	0.0587	11524144	AHNAK2, ASS1, CHI3L1, CPE, CRABP2, DDIT4, EYA2, FAM129A, GAS6, HMOX1, IGFBP3, JUP, KRT14, SDC1, VEGFA, WISP2	CENPE, COL4A1, COL4A2, CTSC, EDNRA, FZD7, KRT18, MCAM, NR2F2	ACVR1, ACVR1B, ACVRL1, AURKB, BMPR1A, BMPR1B, BMPR2, BRSK2, CAMKK1, CSNK1D, DYRK1A, DYRK2, DYRK3, EIF2AK2, HIPK2, ID4, KDR, Lck, MAPK15, MELK, MKNK1, PKN2, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, TBK1, TGFBR1, TGFBR2, YES1
5H-Quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	BRD-K92317137	H1299	10.0um	6.0h	0.0587	659101	COMP, DDIT4, FLG, HAPLN1, HMOX1, MAN1A1, MME, MOCOS, RPS6KA2, SLC38A1, TRIB3, VEGFA	ARHGDIB, BST2, EDNRA, GBP1, HSPA1A, ID4, MEIS2, MX2, PEG10, PTN	APLNR, APOBEC3G, APP, ARNT, BARD1, BAZ2B, BRCA1, CCR6, CFTR, CHRM4, CHRM5, CXCR6, CYP2C9, DRD3, Gli1, GSTO1, Hsf1, HSP90AA1, HTR1A, HTR1E, IDH1, IL1B, ITGA4, KCNQ1, L3MBTL1, MDM2, MDM4, MITF, MMP14, MPI, NAE1, NFE2L2, NFKBIA, NLRP3, NOD1, NOD2, NPSR1, NR2E3, NR5A1, OPRK1, PLA2G7, RBBP8, RELA, RIPK2, RORA, Rorc, S1PR1, S1PR4, SIX1, SLC12A5, SMAD3, TACC3, TDP1, TLR9, TNF, UBE2M, VCP
GSK-2126458	BRD-K42918627	A375	1.11um	24h	0.0587	52914946	ABCC3, AHNAK2, BACE2, CBLB, CHI3L1, COL11A1, COL8A2, COMP, ETV1, ITPR3, MAF, MFAP5, MN1, SEMA3C, SERPINE2, SULF1, TRPS1	ARHGDIB, CENPE, CSRP2, EFHD1, HSPA1A, HSPA2, LRRC17, MCAM, NR2F2, PSME2	NA
Gossypol acetate	BRD-K19295594	A375	11.1um	24.0h	0.056	227456	AHNAK2, ASS1, CBLB, CHI3L1, HMOX1, IGFBP3, MME, MMP1, MMP3, RPS6KA2, SEMA3C, SULF1, TRIB3, VEGFA	ARHGDIB, BST2, CALD1, CENPE, COL4A1, COL4A2, DHFR, F2R, FHL1, FZD7, MCAM, NES, NR2F2, RGS5, TMEM97	Abhd4, ABHD5, ABL1, ADAM10, ADAM17, BAZ2B, BLM, CFTR, Ddit3, DLD, DRD1, Eif4e, EIF4G1, EPAS1, ESR1, ESR2, EYA2, GAA, GAPDH, GMNN, HPGD, INS, KAT2A, MAP3K3, MAP4K2, MAPT, MC4R, MCL1, MPI, PABPC1, PAX8, PLIN1, PLIN5, POLB, PRMT1, PSIP1, RIN1, Rorc, SAE1, SENP8, SIAE, SIRT5, SUMO1, THRB, TSHR, UBA2, UBE2I, USP2, VCP
COT-10b	BRD-K18190982	SW620	44.4um	6.0h	0.056	73707373	ASS1, CHI3L1, COL11A1, COMP, CPE, DDIT4, FAM129A, IGFBP3, LRRC15, LUM, MFAP5, MMP3, RPS6KA2, TNFAIP6, VCAM1	BST2, CTSC, DIO2, HES1, HSPA1A, HSPB8, ID4, LGALS3BP, NES, NR2F2, TMEM97	NA
IIXFNJQVQREYEM-UHFFFAOYSA-N	BRD-K05153001	A375	10.0um	24.0h	0.056	665013	ASS1, CHI3L1, CRABP2, DDIT4, GAS6, HMOX1, IGFBP3, KRT81, MME, MMP1, PENK, SDC1, SIK1, SLC38A1, TPBG, TRIB3, VEGFA, WISP2	A2M, ARHGDIB, B2M, CENPE, COL4A1, COL4A2, CTSC, KRT18, TFPI	Abhd4, ADAM10, ADAM17, ALOX15, BAP1, BAZ2B, CYP2C9, Ddit3, DLD, DRD2, ESR2, GSTO1, HPGD, KCNJ1, MAPT, MCL1, MDM2, MDM4, NR2F2, NR5A1, NR5A2, PLA2G7, PRKN, PRMT1, PSIP1, PTGER2, RBBP9, Rorc, SLC12A5, TAAR1, TDP1, TP53
AKJHMTWEGVYYSE-WXSOSVMTSA-N	BRD-K28168037	MCF7	10.0um	24.0h	0.056	5353342	ABCC3, AMIGO2, ASS1, CD24, COMP, DDIT4, FADS2, FAM129A, GTF2IRD1, HMOX1, IGFBP3, NPTX2, SERPINE2, SOX4, TNFAIP6, VCAM1, VEGFA	DHFR, FHL1, MEIS2, POSTN, SLC25A4	NA
GSK-2126458	BRD-K42918627	A375	3.33um	24h	0.056	52914946	AHNAK2, CADM1, CBLB, CHI3L1, COL11A1, COL8A2, COMP, DPP4, ETV1, FAM129A, HMOX1, MFAP5, MME, RUNX1T1, SEMA3C, SULF1, TRIM2, TRPS1, VEGFA	ARHGDIB, HSPA1A, LRRC17, MCAM	NA
