pert_desc	pert_id	cell_id	pert_dose	pert_time	score	pubchem_id	overlap.up	overlap.down	targets
GSK-2126458	BRD-K42918627	A375	3.33um	24h	0.1069	52914946	AHNAK2, CADM1, CHI3L1, COMP, DPP4, ETV1, FAM129A, HMOX1, RUNX1T1, SEMA3C, SULF1	ARHGDIB, HSPA1A, MCAM	NA
Narciclasine	BRD-K06792661	A375	10.0um	24.0h	0.0992	72376	CADM1, CD24, CHI3L1, COMP, ETV1, HMOX1, MAB21L2	ADAM19, BST2, COL4A1, HSPA1A, KRT18, MCAM, NES, OXTR	CYP3A4
MK-0591	BRD-K39503511	A375	80.0um	24.0h	0.0992	60923	AHNAK2, ASS1, COMP, FLG, HMOX1, MMP1, MOCOS, THBD	BST2, COL4A1, CTSC, HSPA1A, KRT18, MCAM, RGS5	ALOX5, ALOX5AP
vorinostat	BRD-K81418486	A375	10.0um	24.0h	0.0992	5311	AHNAK2, ASS1, CD24, CHI3L1, HMOX1, KRT19, MMP1, PTGIS, WISP2	ARHGDIB, BST2, COL4A1, KRT18, NES, OXTR, RGS5	ACE, ATAD5, CFTR, CYP3A4, ESR1, ESRRA, FXN, Gli1, GLI3, GMNN, Hdac1, HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IFNG, MDM2, MDM4, MITF, NCOR1, NCOR2, NFE2L2, NR0B1, NR1I2, NR1I3, NR3C1, PAX8, RARA, TDP1, TP53, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8, Wnt3a
nintedanib	BRD-K49075727	HS578T	10um	24h	0.0992	9809715	ABCC3, AHNAK2, ASS1, CD9, CHI3L1, DPP4, HMOX1, MAF, PPL, SLC38A1	IER3, NES, RGS4	AAK1, ABL1, ABL2, ACVR1, ACVR1B, ACVRL1, AKT1, ALK, AURKB, AURKC, AXL, BLK, BMP2K, BMPR2, BTK, C8orf44-SGK3, CAMK1, CAMK1D, CAMK1G, CAMK2A, CAMK4, CAMKK1, CAMKK2, CDK14, CDK16, CDK17, CDK18, CDK2, CDK4, CDK7, CDKL2, CHEK1, CHUK, CLK1, CLK2, CLK4, CSF1R, CSNK1D, CSNK1E, CSNK2A1, CSNK2A2, DAPK2, DAPK3, DCLK1, DCLK3, DDR1, DDR2, DYRK1B, EIF2AK4, EPHA1, EPHA2, EPHA3, EPHA6, EPHB1, EPHB4, EPHB6, ERN1, FER, FES, FGFR1, FGFR2, FGFR3, FGFR4, FGR, FLT1, FLT3, FLT4, FRK, FYN, GRK1, GRK4, GRK7, GSK3A, GSK3B, HCK, HIPK1, HIPK2, HIPK3, HIPK4, ICK, IFNG, IGF1R, IKBKE, INSR, INSRR, IRAK1, IRAK3, IRAK4, ITK, JAK1, JAK2, JAK3, Kdr, KDR, KIT, LATS1, LATS2, LCK, LRRK2, LTK, LYN, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAP2K5, MAP3K10, MAP3K11, MAP3K12, MAP3K13, MAP3K15, MAP3K19, MAP3K2, MAP3K3, MAP3K7, MAP3K9, MAP4K1, MAP4K2, MAP4K3, MAP4K4, MAP4K5, MAPK10, MAPK7, MAPK8, MARK1, MARK2, MARK3, MARK4, MAST1, MELK, MERTK, MET, MINK1, MUSK, MYLK, MYLK2, MYLK3, MYLK4, MYO3B, NTRK1, NTRK2, NTRK3, NUAK1, NUAK2, OXSR1, PAK2, PAK3, PAK4, PAK5, PDGFRA, PDGFRB, PDPK1, PHKG1, PHKG2, PIP4K2B, PIP5K1A, PKN1, PKN2, PLK4, PRKAA1, PRKAA2, PRKCQ, PRKD1, PRKD2, PRKD3, PRKG1, PRPF4B, PTK2, PTK2B, RET, RIOK1, RIOK3, RIPK1, RIPK4, ROS1, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA5, RPS6KA6, RPS6KB1, SBK1, SBK3, SGK3, SIK1, SIK2, SLK, SRC, SRPK1, SRPK2, SRPK3, STK10, STK11, STK16, STK17A, STK17B, STK24, STK26, STK3, STK33, STK35, STK39, STK4, TBK1, TEK, TGFBR1, TIE1, TNIK, TNK1, TNK2, TSSK1B, TTK, TXK, TYK2, TYRO3, ULK1, ULK2, ULK3, WEE1, YES1, ZAP70
curcubitacin I	BRD-A28105619	A375	10.0um	24.0h	0.0916	73707401	ASS1, CADM1, CHI3L1, FAM129A, HMOX1, MMP1, SLC38A1	A2M, ACTA2, ARHGDIB, COL4A1, CTSC, IER3, KRT18, MCAM, NES	NA
Salermide	BRD-A67788537	A375	120.0um	24.0h	0.0916	42626405	ASS1, CD24, CHI3L1, FAM129A, HMOX1, MMP1, PPL, SULF1, THBD	BST2, COL4A1, MCAM, NES, OXTR	SIRT1, SIRT2
Dorsomorphin dihydrochloride	BRD-K54233340	A375	10.0um	24.0h	0.0916	11524144	AHNAK2, ASS1, CHI3L1, EYA2, FAM129A, HMOX1, KRT14, WISP2	COL4A1, CTSC, EDNRA, KRT18, MCAM	ACVR1, ACVR1B, ACVRL1, AURKB, BMPR1A, BMPR1B, BMPR2, BRSK2, CAMKK1, CSNK1D, DYRK1A, DYRK2, DYRK3, EIF2AK2, HIPK2, ID4, IFNG, KDR, Lck, MAPK15, MELK, MKNK1, PKN2, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, TBK1, TGFBR1, TGFBR2, YES1
vorinostat	BRD-K81418486	A375	10.0um	24.0h	0.0916	5311	AHNAK2, ASS1, CD24, CHI3L1, DPP4, MMP1, PPL, THBD	BEX1, COL4A1, KRT18, NES, PDE10A, RGS5, STK32B	ACE, ATAD5, CFTR, CYP3A4, ESR1, ESRRA, FXN, Gli1, GLI3, GMNN, Hdac1, HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IFNG, MDM2, MDM4, MITF, NCOR1, NCOR2, NFE2L2, NR0B1, NR1I2, NR1I3, NR3C1, PAX8, RARA, TDP1, TP53, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8, Wnt3a
IIXFNJQVQREYEM-UHFFFAOYSA-N	BRD-K05153001	A375	10.0um	24.0h	0.0916	665013	ASS1, CHI3L1, HMOX1, MMP1, PENK, SLC38A1, WISP2	A2M, ARHGDIB, COL4A1, CTSC, KRT18	Abhd4, ADAM10, ADAM17, ALOX15, BAP1, BAZ2B, CYP2C9, Ddit3, DLD, DRD2, ESR2, GSTO1, HPGD, KCNJ1, MAPT, MCL1, MDM2, MDM4, NR2F2, NR5A1, NR5A2, PLA2G7, PRKN, PRMT1, PSIP1, PTGER2, RBBP9, Rorc, SLC12A5, TAAR1, TDP1, TP53
VU0418939-2	BRD-K69097969	A375	10.0um	24.0h	0.0916	46742345	ADAMTS5, ASS1, CAPG, CHI3L1, DPP4, HMOX1, MMP1, SEMA3C, SULF1, VLDLR, WISP2	MCAM, RGS5	ARNT, HIF1A, NR2F2, PLA2G3, PLCB3, PLCG1, PRNP, TACC3
celastrol	BRD-A24396574	A375	10um	24h	0.0916	73707365	ASS1, CHI3L1, COLEC12, FAM129A, MXRA5, PID1, PPL, RUNX1T1, SLC38A1, SULF1	HSPA1A, NES	NA
XMD11-85H	BRD-U22633929	HS578T	10um	24h	0.0916	NA	CADM1, DPP4, ETV1, FLRT2, HMOX1, NDNF	A2M, ARHGDIB, CNN1, EFHD1, KRT18, POSTN, RGS5, TNS1	NA
BI-2536	BRD-K64890080	HS578T	10um	24h	0.0916	11364421	CADM1, DAPK1, HMOX1, ITGA6, KRT19, MAF, MXRA5, THBD	ACTG2, ARHGDIB, CNN1, KRT18, NES, OXTR, POSTN, RGS5, TFPI2	AAK1, ABL1, ALK, BRD4, CAMK1D, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMKK1, CAMKK2, CDK4, CDK7, CHEK2, CIT, CLK1, CLK2, CLK3, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CSNK1G2, CSNK1G3, DAPK1, DAPK2, DAPK3, DCLK1, DMPK, EGFR, EIF2AK2, FES, FLT3, GAK, GRK7, HIPK1, HIPK2, HIPK3, HIPK4, HUNK, IFNG, IRAK1, IRAK4, LTK, MAP3K19, MAPK10, MAPK7, MERTK, MET, MINK1, MYLK, MYO3A, MYO3B, NEK2, NEK3, NEK7, NIM1K, PHKG2, PIK3CD, PIP4K2C, PLK1, PLK2, PLK3, PRKD1, PRKD2, PRKD3, PTK2, PTK2B, RIOK1, RIOK3, RPS6KA1, RPS6KA2, RPS6KA4, RPS6KA5, RPS6KA6, SLK, STK10, STK16, STK33, SYK, TAOK3, TTK
FIT	BRD-K17896185	HA1E	10.0um	24.0h	0.084	84008	ABCC3, AHNAK2, CAPG, CD9, DPP4, ETV1, HMOX1, KRT19, PPL	CNN1, MCAM, OXTR	MYC, NR3C1, TDP1
BI 2536	BRD-K64890080	A375	10.0um	24.0h	0.084	11364421	AHNAK2, CADM1, CD24, CHI3L1, DPP4, HMOX1, MMP1, THBD	ARHGDIB, CDH6, COL4A1, KRT18, RGS5	AAK1, ABL1, ALK, BRD4, CAMK1D, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMKK1, CAMKK2, CDK4, CDK7, CHEK2, CIT, CLK1, CLK2, CLK3, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CSNK1G2, CSNK1G3, DAPK1, DAPK2, DAPK3, DCLK1, DMPK, EGFR, EIF2AK2, FES, FLT3, GAK, GRK7, HIPK1, HIPK2, HIPK3, HIPK4, HUNK, IFNG, IRAK1, IRAK4, LTK, MAP3K19, MAPK10, MAPK7, MERTK, MET, MINK1, MYLK, MYO3A, MYO3B, NEK2, NEK3, NEK7, NIM1K, PHKG2, PIK3CD, PIP4K2C, PLK1, PLK2, PLK3, PRKD1, PRKD2, PRKD3, PTK2, PTK2B, RIOK1, RIOK3, RPS6KA1, RPS6KA2, RPS6KA4, RPS6KA5, RPS6KA6, SLK, STK10, STK16, STK33, SYK, TAOK3, TTK
FJHBVJOVLFPMQE-UHFFFAOYSA-N	BRD-A36630025	HEPG2	0.35um	6.0h	0.084	4014291	CADM1, CD9, CHI3L1, FAM129A, KRT14, KRT19, LUM, PPL, SEMA3C	BEX1, OXTR	NA
