pert_desc	pert_id	cell_id	pert_dose	pert_time	score	pubchem_id	overlap.up	overlap.down	targets
VVKQUOIOXTWGEY-VWEIPLKFSA-N	BRD-K72381041	A549	10.0um	6.0h	0.048	44490380	ASS1, AUTS2, CHI3L1, COL11A1, COL8A2, COLEC12, COMP, CPE, CRABP2, DCN, DPYSL3, ELN, FLRT2, LRRC15, MFAP2, MFAP5, MXRA5, RUNX1T1, SULF1	KRT7, LGMN, MICB, NR2F2, TFPI	NFKB1
Strophanthidin	BRD-K84595254	NPC	10.0um	24.0h	0.0453	6185	CADM1, CLIC3, DAPK1, DCN, DPYSL3, FADS2, IGFBP3, MFAP2, MFAP5, MN1, NBL1, PTGIS, SERPINE2, SLC7A8, SMYD3, SOX11, SULF1, TUBB	JAG1, TFPI2	BARD1, BRCA1, CFTR, EPAS1, GALR3, GLP1R, GMNN, HIF1A, IDH1, IFNG, IL1B, MC4R, MDM2, MDM4, MITF, NCOA1, NCOA2, NCOA3, NFE2L2, NR2F2, NR5A1, NR5A2, OPRD1, OPRM1, PAX8, SMAD3, STK33, TDP1, TNFRSF10B, TSHR
NVP-TAE684	BRD-K50140147	HA1E	1.11um	24h	0.0453	16038120	ALDH1A3, ETV1, HAPLN1, HMOX1, IGFBP3, ITGA6, SERPINE2, VEGFA	BST2, CSRP1, FHL1, FILIP1L, GBP1, GBP2, HERC6, IFI44, IFI6, IFITM1, LGALS3BP, MX2, OAS2, OAS3, RGS5, STAT1	AAK1, ABL1, ABL2, ACVR1, ACVR1B, ACVR2A, ACVR2B, ACVRL1, Alk, ALK, ANKK1, AURKA, AURKB, AURKC, AXL, BLK, BMP2K, BMPR1A, BMPR1B, BMPR2, BMX, BRSK1, BRSK2, BTK, CAMK1, CAMK1D, CAMK1G, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CAMKK1, CAMKK2, CASK, CDC42BPA, CDC42BPB, CDC42BPG, CDK1, CDK15, CDK16, CDK17, CDK2, CDK4, CDK5, CDK7, CHEK1, CHEK2, CLK1, CLK2, CLK3, CLK4, COQ8A, COQ8B, CSF1R, CSK, CSNK1A1L, CSNK2A2, DAPK1, DAPK2, DAPK3, DCLK1, DCLK2, DCLK3, DDR1, DDR2, DMPK, DSTYK, DYRK1A, DYRK1B, EGFR, EIF2AK4, EPHA1, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB4, ERN1, FER, FES, FGFR1, FGFR2, FGFR3, FGFR4, FGR, FLT1, FLT3, FLT4, FRK, FYN, GAK, GRK1, GRK4, GRK5, GRK7, HCK, HIPK1, HIPK2, HIPK3, HIPK4, HUNK, ICK, IFNG, IGF1R, IKBKE, INSR, INSRR, IRAK1, IRAK3, IRAK4, ITK, JAK1, JAK2, JAK3, KDR, KIT, LATS1, LATS2, LCK, LIMK1, LIMK2, LRRK2, LTK, LYN, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAP2K5, MAP2K6, MAP3K1, MAP3K10, MAP3K11, MAP3K12, MAP3K13, MAP3K15, MAP3K19, MAP3K2, MAP3K3, MAP3K4, MAP3K6, MAP3K7, MAP3K9, MAP4K1, MAP4K2, MAP4K3, MAP4K4, MAP4K5, MAPK1, MAPK10, MAPK12, MAPK15, MAPK3, MAPK7, MAPK8, MAPK9, MARK1, MARK2, MARK3, MARK4, MAST1, MATK, MELK, MERTK, MET, MINK1, MKNK2, MST1R, MUSK, MYLK, MYO3A, MYO3B, NEK2, NEK3, NEK4, NEK6, NEK7, NEK9, NIM1K, NTRK1, NTRK2, NUAK1, NUAK2, OXSR1, PAK1, PAK2, PAK3, PAK4, PAK5, PAK6, PDGFRA, PDGFRB, PDPK1, PHKG1, PHKG2, PI4KB, PIP4K2C, PIP5K1A, PKN1, PKN2, PLK1, PLK2, PLK3, PLK4, PRKAA1, PRKAA2, PRKACA, PRKACB, PRKCD, PRKCE, PRKCQ, PRKD1, PRKD2, PRKD3, PRKG1, PRKG2, PRKX, PRPF4B, PTK2, PTK2B, PTK6, RET, RIOK3, RIPK2, RIPK4, ROCK1, ROCK2, ROS1, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA6, RPS6KB1, SBK1, SBK3, SIK1, SIK2, SIK3, SLK, SNRK, SRC, SRMS, SRPK1, SRPK3, STK10, STK16, STK17A, STK17B, STK24, STK25, STK26, STK3, STK32A, STK32B, STK32C, STK33, STK35, STK36, STK38, STK38L, STK39, STK4, SYK, TAOK1, TAOK2, TAOK3, TBK1, TEC, TEK, TGFBR1, TGFBR2, TIE1, TNIK, TNK1, TNK2, TNNI3K, TSSK1B, TSSK2, TTK, TXK, TYK2, TYRO3, ULK1, ULK2, ULK3, WEE1, YES1, ZAP70
trichostatin A	BRD-A19037878	HT29	10.0um	6.0h	0.0427	6376322	ATF5, ENPP2, PDGFC, PHLDA1, TPBG	CLEC3B, EFHD1, HES1, HSPA1A, HSPA2, IFI6, JAG1, LGMN, MICB, NOTCH1, PAPSS2, PEG10, STAT1, TNS1, VCL	NA
S1030	BRD-K02130563	A549	10.0um	24.0h	0.0427	6918837	AHNAK2, AMIGO2, AUTS2, CLU, DDIT4, FAM129A, FLRT2, IGFBP3, LPAR1, MALL, PBX1, PDGFC, PPL, TPBG	CSRP1, FHL1, INHBA, LGMN, SLC24A3	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IFNG
Skatole	BRD-K73824630	NPC	10.0um	24.0h	0.0427	6736	AUTS2, CADM1, COL11A1, DCN, DPYSL3, ETV1, FAM129A, FLRT2, LUM, MFAP2, SERPINE2, SMYD3, SOX11, TPBG	IER3, JAG1, KRT18, PHLDA2, STAT1, TFPI2	GLI3
PF-3758309	BRD-K37764012	PC3	1.11um	24h	0.0427	NA	AUTS2, CHI3L1, ENPP2, ETV1, IGFBP3, MME, THBD, TNFAIP6, TUBB	BEX1, BST2, COL4A1, COL4A2, FHL1, HSPA1A, ITGA7, KRT18, LMOD1, PEG10, TNS1, TPM2	NA
saracatinib	BRD-K19540840	HA1E	3.33um	24h	0.0427	10302451	AMIGO2, CRABP2, CRLF1, ELN, ENPP2, FLRT2, IGFBP3, KRT14, KRT81, PDGFC, PITX1, SEMA3C	BEX1, CSRP1, GBP2, HERC6, IFI44, IFI6, IFITM1, LGALS3BP, MX2, OAS2, OAS3, STAT1	ABL1, CDK2, CSK, DDR2, EGFR, KDR, KIT, LCK, MAP2K1, MAP2K2, PDGFRA, SRC, YES1
alvocidib	BRD-K87909389	LNCAP	0.04um	24h	0.0427	5287969	ALDH1A3, AMIGO2, ATF5, DCN, DDIT4, ENPP2, ETV1, FAM129A, FLG, HAPLN1, HOMER2, ITPR3, LUM, MAB21L2, MALL, NFIB, PTGDS, TUBB	GBP1, HES1, HSPB8, IFITM1, ILK, PEG10, QPRT	AAK1, ABL1, ACVR1, ACVR2A, ACVR2B, ACVRL1, ALK, AXL, BMPR1B, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CAMKK1, CAMKK2, CCNA1, CCNA2, CCNB1, CCNB2, CCNB3, CCND1, CCNE1, CCNE2, CCNT1, CDC42BPA, CDC42BPB, CDK1, CDK13, CDK14, CDK15, CDK16, CDK17, CDK18, CDK19, CDK2, CDK3, CDK4, CDK5, CDK5R1, CDK6, CDK7, CDK8, CDK9, CDKL5, CIT, Clk1, CLK1, CLK2, CLK3, CSF1R, CSNK1A1, CSNK1A1L, CSNK1G1, DCLK1, DCLK3, DMPK, DSTYK, DYRK1A, DYRK1B, EGFR, EIF2AK1, EIF2AK2, EPHA1, EPHA2, EPHA3, EPHA5, EPHB1, ERBB3, ERBB4, FLT3, FRK, GAK, GRK1, GRK7, GSK3A, GSK3B, HIPK1, HIPK2, HIPK3, HIPK4, ICK, IFNG, IKBKE, IRAK1, IRAK4, JAK2, JAK3, KIT, LRRK2, LTK, MAK, MAP2K3, MAP2K4, MAP2K5, MAP3K10, MAP3K2, MAP3K3, MAP3K7, MAP3K9, MAP4K1, MAP4K2, MAP4K3, MAPK10, MAPK15, MAPK7, MAPK8, MERTK, MINK1, MKNK2, NUAK2, PDGFRA, PHKG1, PHKG2, PIM1, PIM2, PIM3, PIP4K2C, PIP5K1C, PKN1, PLK4, PRKAA1, PRKCD, PRKCE, PRKCH, PRKCQ, PRKD1, PRKD2, PRKD3, PTK2B, ROCK1, ROCK2, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA5, RPS6KA6, RPS6KB1, SRMS, STK17A, STK17B, STK3, STK32A, STK33, STK35, TAOK1, TAOK2, TAOK3, TBK1, TGFBR2, TNNI3K, TYK2, UGT1A9, ULK2, VRK2
trichostatin A	BRD-A19037878	HCC515	10.0um	6.0h	0.04	6376322	ALDH1A3, ATF5, AUTS2, GTF2IRD1, KRT14, KRT19, PBX1, PDGFC, PHLDA1, SOX4, TNFAIP6, TPBG	DSP, EFHD1, HSPA1A, IFI6, MICB, NOTCH1, PEG10, WFDC1	NA
