pert_desc	pert_id	cell_id	pert_dose	pert_time	score	pubchem_id	overlap.up	overlap.down	targets
JNK-IN-5A	BRD-K76401790	PC3	10um	24h	0.084	NA	CD24, COLEC12, ETV1, MMP1, PTGIS, SERPINE2, SULF1, THBD	OXTR, POSTN, RGS4	NA
PHA-767491	BRD-K50000283	HA1E	3.33um	24h	0.084	NA	CADM1, CD24, COMP, DAPK1, FAM129A, KRT14, PTGIS, SEMA3C, SERPINE2, TUBB	HSPA1A, POSTN	NA
VINCRISTINE SULFATE	BRD-A60414806	HA1E	10.0um	24.0h	0.0763	6324671	CADM1, COMP, DAPK1, HMOX1, PENK, PTGIS, SULF1, TUBB	ARHGDIB, CD36, JAG1, RGS5	NA
PD-184352	BRD-K05104363	A549	1.11um	24h	0.0763	6918454	CD9, CHI3L1, COMP, CRLF1, ETV1, SLC38A1	BEX1, CD36, COL4A1, IFI6, OXTR	AR, AURKC, CAMK2A, ESR1, ESR2, ESRRA, GLI3, MAP2K1, MAP2K2, MAP2K5, NR1H4, NR1I3, NR3C1, PDGFRB, PPARD, PPARG, Rorc, RPS6KA1, TDP1, TP53
NCGC00242296-02	BRD-K63308290	A549	10.0um	6.0h	0.0687	60138120	CD24, SERPINE2	A2M, ARHGDIB, CD36, EDNRA, GPR116, HLA-C, HSPA1A, JAG1, PTN	NA
DFGKZIBIXYJPFV-UHFFFAOYSA-N	BRD-K19724398	HA1E	10.0um	6.0h	0.0687	53338857	HMOX1	A2M, ACTA2, ACTG2, CD36, EFHD1, GPR116, HSPA1A, JAG1, POSTN, SLC24A3	MBD2, PRMT1
VVKQUOIOXTWGEY-VWEIPLKFSA-N	BRD-K72381041	A549	10.0um	6.0h	0.0687	44490380	ASS1, CHI3L1, COLEC12, COMP, FLRT2, LRRC15, MXRA5, RUNX1T1, SULF1		NFKB1
MG-132	BRD-K60230970	PHH	10.0um	24.0h	0.0687	462382	CD24, COMP, DAPK1, KRT19, LRRC15, LUM, MXRA5, PTGIS, SERPINE2, SULF1	GPR116, HSPA1A	ALDH1A1, CTSB, IFNG, NFKBIA, PSMB1, PSMB2, PSMB5
Thiostrepton	BRD-A52627843	PC3	10.0um	24.0h	0.0687	73707520	ABCC3, AHNAK2, CAPG, CD9, ITGA6, KRT19, LUM, PTGIS, SULF1	HSPA1A, NEFM, PTN, RGS5	NA
PF-3758309	BRD-K37764012	PC3	0.04um	24h	0.0687	NA	CADM1, ETV1, THBD, TUBB	COL4A1, DSP, HSPA1A, KRT18, OXTR, TNS1	NA
GSK-1059615	BRD-K02708799	HA1E	1.11um	24h	0.0687	23658330	CD24, KRT14, SERPINE2	ACTA2, ACTG2, EDNRA, GPR116, JAG1, POSTN, RGS5, SLC24A3	NA
A443654	BRD-K88573743	PC3	0.37um	24h	0.0687	NA	CD24, MMP1, SEMA3C, SULF1	A2M, CD36, COL4A1, RGS4, RGS5	NA
CGP-60474	BRD-K79090631	A375	0.37um	24h	0.0687	644215	CD24, KRT14, SEMA3C	BEX1, CDH6, EDNRA, IER3, LPPR4, PTN, RGS5, TFPI2	ASAP1, ATAD5, BARD1, BRCA1, CDK1, CDK5, CDK5R1, CFTR, Ddit3, Gli1, GSK3B, Hsf1, HTT, IL1B, MDM2, MDM4, MRGPRX1, NCOA1, NCOA2, NCOA3, NOD1, NOD2, NR2E3, NR2F2, NR5A1, NR5A2, PAX8, PIP4K2A, PRNP, Rorc, Scarb1, SMAD3, SMG1, STK33, TAAR1, TDP1, TNF, XBP1
TC 2559 difumarate	BRD-K67352070	VCAP	10.0um	24.0h	0.0611	9823180	COMP, MAB21L2, PENK, SERPINE2	A2M, ARHGDIB, LMOD1, PTN, RGS5, TNS1	CHRNA3, CHRNA4, CHRNB2, CHRNB4
sb 225002	BRD-K61323504	HA1E	11.1um	24.0h	0.0611	3854666	DAPK1, LUM, TUBB	A2M, ACTG2, ARHGDIB, CD36, JAG1	CXCR2
vorinostat	BRD-K81418486	MDST8	10.0um	6.0h	0.0611	5311	KRT14	A2M, ACTG2, HSPA1A, IER3, JAG1, MCAM, TNS1, WFDC1	ACE, ATAD5, CFTR, CYP3A4, ESR1, ESRRA, FXN, Gli1, GLI3, GMNN, Hdac1, HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, IFNG, MDM2, MDM4, MITF, NCOR1, NCOR2, NFE2L2, NR0B1, NR1I2, NR1I3, NR3C1, PAX8, RARA, TDP1, TP53, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8, Wnt3a
QUINACRINE HYDROCHLORIDE	BRD-A45889380	OV7	10.0um	6.0h	0.0611	23581813	AHNAK2, FAM129A, HMOX1, ITGA6, KRT14	ACTA2, GPR116, LPPR4, WFDC1	CBFB, NPSR1, POLB, RUNX1
QUINACRINE HYDROCHLORIDE	BRD-A45889380	WSUDLCL2	10.0um	6.0h	0.0611	23581813	CD9, NDNF, SEMA3C	CD36, MGAM, NOTCH3, OXTR, POSTN, SLC24A3, TFPI2	CBFB, NPSR1, POLB, RUNX1
KXWWYFKVBFUVIZ-SGWCAAJKSA-N	BRD-K74761218	MCF7	10.0um	24.0h	0.0611	44601455	ITGA6, TUBB	DAAM2, DSP, EDNRA, HLA-A, IFI6, JAG1, PTN, TNS1, WFDC1	NA
F1566-0341	BRD-K69852452	A549	10.0um	24.0h	0.0611	5056826	ABCC3, AHNAK2, CD24, SERPINE2	CD36, EFHD1, GPR116, HSPA1A, POSTN, RGS5	NA
WDJUZGPOPHTGOT-KSVSUYAUSA-N	BRD-A93236127	ASC	10.0um	24.0h	0.0611	5702041	ABCC3, AHNAK2, CD24, FAM129A, MAF, PTGIS, SERPINE2	BEX1, RGS5	IFNG, Rorc, STK33, TDP1
Abexinostat	BRD-K12867552	HEPG2	10.0um	6.0h	0.0611	11749858	ABCC3, CD24, ITGA6	BST2, EFHD1, HSPA1A, IFI6, RGS4, SLC24A3	HDAC1, HDAC10, HDAC2, HDAC3, HDAC6, HDAC8, IFNG
Skatole	BRD-K73824630	NPC	10.0um	24.0h	0.0611	6736	CADM1, ETV1, FAM129A, FLRT2, LUM, SERPINE2	IER3, JAG1, KRT18, TFPI2	GLI3
