Term	ID	Genes	Adj.pvalue	Enrichment
anatomical structure development	GO:0048856	AATF ACAN ACKR3 ACTA2 ACTG2 ADAM12 ADAM19 ADAMTS12 ADAMTS5 ADAMTSL4 ADM2 AJAP1 ALDH1A3 ALPL AMIGO2 ANKRD1 ARHGDIB ARNT2 ATF5 AUTS2 B2M BEX1 BICC1 BMP8B BRIP1 BST2 CADM1 CAMK1D CCKAR CD24 CD36 CD4 CD9 CDH3 CELSR1 CENPE CFL2 CHI3L1 CHRM2 CLEC3B CLMP CLSTN2 CLU CMKLR1 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP CPE CRABP2 CRLF1 CSNK2B CSPG4 CSRP2 CXCL12 DAAM2 DCN DDIT4 DDX39B DHFR DHRS3 DMD DNER DOCK10 DPYSL3 DSG2 DSP EDNRA EFHD1 ELN ENPP2 EPB41L3 EPHA4 EPHA5 ETV1 EYA2 F2R FAM20A FAM20C FBLIM1 FBLN1 FGF1 FGF7 FGFRL1 FHL1 FHOD3 FLG FLRT2 FLT1 FOXE1 FOXS1 FZD4 FZD7 GAS6 GBP1 GCNT1 GCNT4 GDNF GJA1 GPC6 GREM2 GTF2IRD1 HAPLN1 HAPLN3 HEG1 HERC6 HES1 HEYL HGF HIC1 HMOX1 HSPA2 HSPB1 ID4 IER3 IGF2 IGFBP3 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JAG1 JPH2 JUP KCNK2 KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LAMA2 LDB2 LDB3 LMOD1 LOXL3 LPAR1 LRIG3 LRRC17 LRRN1 LRRN3 LUM MAB21L2 MAF MALL MCAM MCTP2 MEIS2 MFAP2 MFAP5 MKX MME MMP2 MN1 MYL9 MYLK MYOCD NBL1 NDNF NEFM NES NFIB NHSL1 NOTCH1 NOTCH3 NPAS1 NR2F2 NRP2 NRXN3 OLFML3 OXTR PALM PAPPA2 PAPSS2 PBX1 PCDH1 PCDH10 PCDHGB7 PDGFC PDGFRB PDLIM3 PENK PHLDA2 PID1 PITX1 PLCD1 PLXNA2 PLXND1 POSTN PPL PPP1R13L PRELP PRKG1 PSME2 PTGIS PTN RARB RASGRP1 RBM24 RBP4 RBPJ RELN S100A10 SCN9A SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SHANK2 SIK1 SLC5A3 SLC9A3R1 SMOC1 SMYD3 SOX11 SOX4 SPHK1 SPP1 SPRY4 SSTR1 STAT1 SULF1 SULF2 SYNE3 TAGLN TBX2 TBX3 TCF7 TDRD9 TENM2 TENM3 TGFB2 TPBG TRPC4 TRPC6 TRPS1 TRPV2 TSPAN2 UNC5B VASP VCAM1 VCL VEGFA VLDLR VPS52 WNK4 WNT16 ZNF423	4.23991963448455e-26	0.04728002920774
developmental process	GO:0032502	A2M AATF ACAN ACKR3 ACTA2 ACTG2 ADAM12 ADAM19 ADAMTS12 ADAMTS5 ADAMTSL4 ADM2 AJAP1 ALDH1A3 ALPL AMIGO2 ANKRD1 ARHGDIB ARNT2 ATF5 AUTS2 B2M BEX1 BICC1 BMP8B BRIP1 BST2 CADM1 CAMK1D CCKAR CD24 CD36 CD4 CD9 CDH3 CELSR1 CENPE CFL2 CHI3L1 CHRM2 CLEC3B CLMP CLSTN2 CLU CMKLR1 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP CPE CRABP2 CRLF1 CSNK2B CSPG4 CSRP2 CTSC CXCL12 DAAM2 DCN DDIT4 DDX39B DHFR DHRS3 DMD DNER DOCK10 DPYSL3 DSG2 DSP EDNRA EFHD1 ELN ENPP2 EPB41L3 EPHA4 EPHA5 ETV1 EYA2 F2R FAM20A FAM20C FBLIM1 FBLN1 FGF1 FGF7 FGFRL1 FHL1 FHOD3 FLG FLRT2 FLT1 FOXE1 FOXS1 FZD4 FZD7 GAS6 GBP1 GCNT1 GCNT4 GDNF GJA1 GPC6 GREM2 GTF2IRD1 HAPLN1 HAPLN3 HEG1 HERC6 HES1 HEYL HGF HIC1 HMOX1 HSPA2 HSPB1 ID4 IER3 IFITM1 IGF2 IGFBP3 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JAG1 JPH2 JUP KCNK2 KCNMB1 KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LAMA2 LDB2 LDB3 LGMN LMOD1 LOXL3 LPAR1 LRIG3 LRRC17 LRRN1 LRRN3 LUM MAB21L2 MAF MALL MCAM MCTP2 MEIS2 MFAP2 MFAP5 MKX MME MMP2 MN1 MYL9 MYLK MYOCD NBL1 NDNF NEFM NES NFIB NHSL1 NOTCH1 NOTCH3 NPAS1 NR2F2 NRP2 NRXN3 OLFML3 OXTR PALM PAPPA2 PAPSS2 PBX1 PCDH1 PCDH10 PCDHGB7 PDGFC PDGFRB PDLIM3 PEG10 PENK PHLDA2 PID1 PITX1 PLCD1 PLXNA2 PLXND1 POSTN PPL PPP1R13L PRELP PRKG1 PRRC2A PSME2 PTGIS PTN RARB RASGRP1 RBM24 RBP4 RBPJ RELN RUNX1T1 S100A10 SCN9A SCUBE3 SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SHANK2 SIK1 SLC5A3 SLC9A3R1 SMOC1 SMYD3 SOX11 SOX4 SPHK1 SPP1 SPRY4 SSTR1 STAT1 SULF1 SULF2 SYNE3 TAGLN TBX2 TBX3 TCF7 TDRD9 TENM2 TENM3 TGFB2 TPBG TRIB3 TRPC4 TRPC6 TRPS1 TRPV2 TSPAN2 UNC5B VASP VCAM1 VCL VEGFA VLDLR VPS52 WNK4 WNT16 ZNF423	1.1668752288338e-25	0.0456164151263354
multicellular organism development	GO:0007275	AATF ACAN ACKR3 ACTA2 ACTG2 ADAM19 ADAMTS12 ADAMTS5 ADM2 AJAP1 ALDH1A3 ALPL AMIGO2 ANKRD1 ARHGDIB ARNT2 ATF5 AUTS2 B2M BEX1 BICC1 BMP8B BRIP1 BST2 CADM1 CAMK1D CCKAR CD24 CD4 CD9 CDH3 CELSR1 CENPE CFL2 CHI3L1 CHRM2 CLEC3B CLMP CLSTN2 CLU CMKLR1 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP CPE CRABP2 CRLF1 CSNK2B CSPG4 CSRP2 CXCL12 DAAM2 DCN DDIT4 DDX39B DHFR DHRS3 DMD DNER DOCK10 DPYSL3 DSG2 DSP EDNRA EFHD1 ELN ENPP2 EPB41L3 EPHA4 EPHA5 ETV1 EYA2 FAM20A FAM20C FBLN1 FGF1 FGF7 FGFRL1 FHL1 FHOD3 FLG FLRT2 FLT1 FOXE1 FOXS1 FZD4 FZD7 GAS6 GCNT1 GCNT4 GDNF GJA1 GPC6 GREM2 GTF2IRD1 HAPLN1 HAPLN3 HEG1 HERC6 HES1 HEYL HGF HIC1 HMOX1 HSPB1 ID4 IGF2 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JAG1 JPH2 JUP KCNK2 KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LAMA2 LDB2 LOXL3 LPAR1 LRIG3 LRRC17 LRRN1 LRRN3 LUM MAB21L2 MAF MALL MCAM MCTP2 MEIS2 MFAP2 MFAP5 MKX MME MMP2 MN1 MYL9 MYLK MYOCD NBL1 NDNF NEFM NES NFIB NHSL1 NOTCH1 NOTCH3 NPAS1 NR2F2 NRP2 NRXN3 OLFML3 OXTR PALM PAPPA2 PAPSS2 PBX1 PCDH1 PCDH10 PCDHGB7 PDGFC PDGFRB PDLIM3 PENK PHLDA2 PITX1 PLCD1 PLXNA2 PLXND1 POSTN PPL PPP1R13L PRELP PRKG1 PSME2 PTGIS PTN RARB RASGRP1 RBP4 RBPJ RELN SCN9A SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SHANK2 SIK1 SLC5A3 SLC9A3R1 SMOC1 SOX11 SOX4 SPHK1 SPP1 SPRY4 SSTR1 STAT1 SULF1 SULF2 TAGLN TBX2 TBX3 TCF7 TDRD9 TENM2 TENM3 TGFB2 TPBG TRPC4 TRPC6 TRPS1 TRPV2 TSPAN2 UNC5B VASP VCAM1 VCL VEGFA VLDLR VPS52 WNK4 WNT16 ZNF423	3.25336568614849e-25	0.0483678343949045
system development	GO:0048731	ACAN ACKR3 ACTA2 ACTG2 ADAM19 ADAMTS12 ADAMTS5 ADM2 AJAP1 ALDH1A3 ALPL AMIGO2 ANKRD1 ARNT2 ATF5 AUTS2 B2M BEX1 BICC1 BMP8B BRIP1 CAMK1D CCKAR CD24 CD4 CD9 CDH3 CELSR1 CFL2 CHI3L1 CHRM2 CLEC3B CLMP CLSTN2 CLU CMKLR1 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP CPE CRABP2 CRLF1 CSNK2B CSPG4 CXCL12 DCN DDIT4 DDX39B DHFR DHRS3 DMD DNER DOCK10 DPYSL3 DSG2 DSP EDNRA EFHD1 ELN ENPP2 EPB41L3 EPHA4 EPHA5 ETV1 FAM20A FAM20C FGF1 FGF7 FGFRL1 FHL1 FHOD3 FLG FLRT2 FLT1 FOXE1 FOXS1 FZD4 FZD7 GAS6 GCNT1 GCNT4 GDNF GJA1 GPC6 HAPLN1 HAPLN3 HEG1 HERC6 HES1 HEYL HGF HMOX1 HSPB1 ID4 IGF2 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JAG1 JPH2 JUP KCNK2 KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LAMA2 LDB2 LOXL3 LPAR1 LRIG3 LRRC17 LRRN1 LRRN3 LUM MAB21L2 MAF MALL MCAM MEIS2 MFAP2 MFAP5 MKX MME MMP2 MYL9 MYLK MYOCD NBL1 NDNF NEFM NES NFIB NHSL1 NOTCH1 NOTCH3 NPAS1 NR2F2 NRP2 NRXN3 OXTR PALM PAPPA2 PAPSS2 PBX1 PCDH1 PCDH10 PCDHGB7 PDGFC PDGFRB PDLIM3 PENK PHLDA2 PITX1 PLCD1 PLXNA2 PLXND1 POSTN PPL PPP1R13L PRELP PRKG1 PSME2 PTGIS PTN RARB RASGRP1 RBP4 RBPJ RELN SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SHANK2 SIK1 SLC5A3 SLC9A3R1 SMOC1 SOX11 SOX4 SPHK1 SPP1 SSTR1 STAT1 SULF1 SULF2 TAGLN TBX2 TBX3 TCF7 TENM2 TENM3 TGFB2 TPBG TRPC4 TRPC6 TRPS1 TRPV2 TSPAN2 UNC5B VASP VCAM1 VCL VEGFA VLDLR VPS52 WNK4 WNT16 ZNF423	1.56717829284846e-24	0.0503130590339893
anatomical structure morphogenesis	GO:0009653	ACKR3 ACTA2 ACTG2 ADAM12 ADAMTS12 ADAMTS5 ADM2 AJAP1 ALDH1A3 ALPL ANKRD1 AUTS2 CCKAR CD36 CD9 CELSR1 CFL2 CHI3L1 CLU COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL8A2 COMP CPE CRABP2 CSNK2B CSPG4 CXCL12 DCN DHRS3 DOCK10 DSP EDNRA ELN ENPP2 EPB41L3 EPHA4 EPHA5 ETV1 EYA2 F2R FAM20A FAM20C FBLIM1 FBLN1 FGF1 FGF7 FGFRL1 FHL1 FHOD3 FLRT2 FLT1 FOXE1 FOXS1 FZD4 FZD7 GBP1 GCNT1 GCNT4 GDNF GJA1 GPC6 GREM2 HEG1 HES1 HEYL HGF HMOX1 HSPB1 ID4 IER3 IGF2 ILK INHBA ITGA1 ITGA5 ITGA6 ITGA7 ITGB3 JAG1 KIF26B KRT18 KRT19 LAMA2 LDB3 LMOD1 LPAR1 LRIG3 MAB21L2 MCAM MFAP2 MMP2 MYLK MYOCD NBL1 NDNF NES NFIB NOTCH1 NOTCH3 NR2F2 NRP2 NRXN3 PALM PAPPA2 PBX1 PDGFC PDGFRB PHLDA2 PID1 PITX1 PLCD1 PLXNA2 PLXND1 POSTN PPP1R13L PSME2 PTGIS PTN RARB RBP4 RBPJ RELN S100A10 SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SLC9A3R1 SOX11 SOX4 SPHK1 SPP1 STAT1 SULF1 SULF2 SYNE3 TBX2 TBX3 TCF7 TENM2 TENM3 TGFB2 TRPC6 TRPV2 UNC5B VASP VCL VEGFA VLDLR VPS52 WNK4 WNT16	4.92540340916379e-23	0.064929693961952
tissue development	GO:0009888	ACTA2 ACTG2 ADAMTS12 ADAMTSL4 AJAP1 ALDH1A3 ALPL ANKRD1 BMP8B CD24 CDH3 CELSR1 CFL2 CHI3L1 CLEC3B COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COMP CRABP2 CRLF1 CSNK2B DCN DDX39B DNER DSG2 DSP EDNRA EPHA4 EYA2 FAM20A FAM20C FGF1 FGF7 FHOD3 FLG FOXE1 FZD4 FZD7 GAS6 GCNT1 GCNT4 GDNF GJA1 GPC6 HEG1 HES1 HEYL HGF ID4 ILK INHBA ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JAG1 JPH2 JUP KCNK2 KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LDB2 LOXL3 LRRC17 LUM MAF MMP2 MYLK MYOCD NFIB NOTCH1 NR2F2 NRP2 PBX1 PDGFRB PHLDA2 PITX1 PLXNA2 PLXND1 POSTN PPL PPP1R13L PSME2 PTGIS PTN RARB RBP4 RBPJ SDC1 SEMA3C SERPINE2 SIK1 SLC9A3R1 SOX11 SOX4 SPP1 STAT1 SULF1 SULF2 TAGLN TBX2 TBX3 TCF7 TGFB2 TRPS1 VASP VCL VEGFA VPS52 WNK4 WNT16	5.29304071211089e-20	0.064034151547492
animal organ development	GO:0048513	ACTA2 ACTG2 ADAM19 ADAMTS12 ADAMTS5 AJAP1 ALDH1A3 ALPL ANKRD1 ARNT2 ATF5 B2M BICC1 BMP8B BRIP1 CCKAR CD24 CD4 CD9 CDH3 CELSR1 CFL2 CHI3L1 CLEC3B COL11A1 COL18A1 COL4A1 COL5A3 COL8A2 COMP CPE CRLF1 CSNK2B CXCL12 DCN DDIT4 DDX39B DHRS3 DMD DNER DOCK10 DSG2 DSP EDNRA ELN EPHA4 EPHA5 ETV1 FAM20A FAM20C FGF1 FGF7 FGFRL1 FHL1 FHOD3 FLG FLRT2 FOXE1 FZD4 FZD7 GAS6 GCNT1 GCNT4 GDNF GJA1 GPC6 HEG1 HERC6 HES1 HEYL HGF HMOX1 ID4 IGF2 ILK INHBA ITGA11 ITGA6 ITGA7 ITGB8 JAG1 JPH2 JUP KCNK2 KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LAMA2 LDB2 LOXL3 LPAR1 LRIG3 LRRC17 LUM MAB21L2 MAF MEIS2 MFAP2 MFAP5 MKX MME MMP2 MYL9 MYLK MYOCD NES NFIB NOTCH1 NOTCH3 NR2F2 NRP2 OXTR PAPPA2 PAPSS2 PBX1 PDGFC PDGFRB PDLIM3 PHLDA2 PITX1 PLCD1 PLXNA2 PLXND1 PPL PPP1R13L PRKG1 PSME2 PTGIS PTN RARB RASGRP1 RBP4 RBPJ RELN SDC1 SEMA3C SERPINE2 SIK1 SLC9A3R1 SMOC1 SOX11 SOX4 SPHK1 SPP1 SSTR1 STAT1 SULF1 SULF2 TAGLN TBX2 TBX3 TCF7 TENM3 TGFB2 TRPS1 TSPAN2 VCAM1 VEGFA VLDLR VPS52 WNK4 WNT16	1.76218840828738e-17	0.0506251906068923
extracellular matrix organization	GO:0030198	A2M ACAN ADAM12 ADAM19 ADAMTS5 ADAMTSL4 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP DCN DPP4 ELN FBLN1 FLRT2 GAS6 HAPLN1 ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 LAMA2 LOXL3 LUM MFAP2 MFAP5 MMP1 MMP2 MMP3 NDNF NOTCH1 POSTN SCUBE3 SPP1 SULF1 SULF2 TGFB2 TNXB VCAM1	6.30630025682691e-16	0.140672782874618
extracellular structure organization	GO:0043062	A2M ACAN ADAM12 ADAM19 ADAMTS5 ADAMTSL4 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP DCN DPP4 ELN FBLN1 FLRT2 GAS6 HAPLN1 ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 LAMA2 LOXL3 LUM MFAP2 MFAP5 MMP1 MMP2 MMP3 NDNF NOTCH1 POSTN SCUBE3 SPP1 SULF1 SULF2 TGFB2 TNXB VCAM1	6.3775458581868e-16	0.140243902439024
cell adhesion	GO:0007155	AATF ACAN ACKR3 ADAM12 ADAMTS12 AJAP1 AMIGO2 ARHGDIB ASS1 C1QTNF1 CADM1 CD24 CD36 CD4 CD9 CDH3 CDH6 CELSR1 CLSTN2 COL12A1 COL18A1 COL5A3 COL8A2 COMP CSRP1 CXCL12 DPP4 DSG2 DSP EPHA4 FBLIM1 FBLN1 FGFRL1 FLRT2 FZD4 FZD7 GAS6 GBP1 GCNT1 HAPLN1 HAPLN3 HES1 HSPB1 IGF2 ILK ISLR ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JUP KIF26B KRT18 LAMA2 LGALS3BP LOXL3 LRRC32 MCAM MYL9 NDNF NEDD9 NOTCH1 NRP2 NRXN3 PCDH1 PCDH10 PCDH7 PCDHGB7 PLXND1 POSTN PRKG1 PTN RAC2 RASGRP1 RELN S100A10 SERPINE2 SPP1 SVEP1 TENM2 TENM3 TGFB2 TINAGL1 TNFAIP6 TNXB TPBG VCAM1 VCL VEGFA WISP1 WISP2	1.84651396891426e-14	0.0706235912847483
