Term	ID	Genes	Adj.pvalue	Enrichment
extracellular matrix organization	GO:0030198	A2M ACAN ADAM19 ADAMTS5 COL12A1 COL18A1 COL4A1 COL5A3 COMP DPP4 FLRT2 ITGA6 ITGB8 LAMA2 LUM MMP1 NDNF POSTN SCUBE3 SULF1 TNXB	3.32745593899354e-08	0.0642201834862385
extracellular structure organization	GO:0043062	A2M ACAN ADAM19 ADAMTS5 COL12A1 COL18A1 COL4A1 COL5A3 COMP DPP4 FLRT2 ITGA6 ITGB8 LAMA2 LUM MMP1 NDNF POSTN SCUBE3 SULF1 TNXB	3.32745593899354e-08	0.0640243902439024
anatomical structure morphogenesis	GO:0009653	ACKR3 ACTA2 ACTG2 ADAMTS5 ALPL CD36 CD9 CHI3L1 COL12A1 COL18A1 COL4A1 COMP CSNK2B DSP EDNRA EPHA5 ETV1 EYA2 FLRT2 FOXE1 FOXS1 GPC6 HEYL HMOX1 IER3 IGF2 ITGA6 JAG1 KRT18 KRT19 LAMA2 LMOD1 MAB21L2 MCAM MYOCD NDNF NES NOTCH3 NRP2 NRXN3 PAPPA2 PID1 POSTN PTGIS PTN SEMA3C SERPINE2 SULF1 TCF7 TENM2 UNC5B VLDLR WNT16	1.89073761438839e-06	0.02191894127378
developmental process	GO:0032502	A2M ACAN ACKR3 ACTA2 ACTG2 ADAM19 ADAMTS5 ALPL ARHGDIB BEX1 BST2 CADM1 CD24 CD36 CD4 CD9 CHI3L1 CHRM2 COL12A1 COL18A1 COL4A1 COL5A3 COMP CRLF1 CSNK2B CTSC DAAM2 DDX39B DSP EDNRA EFHD1 EPHA5 ETV1 EYA2 FLG FLRT2 FOXE1 FOXS1 GPC6 HEYL HMOX1 IER3 IGF2 ITGA6 ITGB8 JAG1 JPH2 KCNK2 KRT14 KRT18 KRT19 LAMA2 LMOD1 LUM MAB21L2 MAF MCAM MKX MYOCD NDNF NEFM NES NOTCH3 NRP2 NRXN3 OXTR PAPPA2 PCDH10 PENK PID1 POSTN PPL PRRC2A PTGIS PTN RUNX1T1 SCN9A SCUBE3 SEMA3C SERPINE2 SSTR1 SULF1 TCF7 TENM2 UNC5B VLDLR WNT16	5.51585163214095e-06	0.0147532643717144
cell adhesion	GO:0007155	ACAN ACKR3 ARHGDIB ASS1 CADM1 CD24 CD36 CD4 CD9 CDH6 COL12A1 COL18A1 COL5A3 COMP DPP4 DSP FLRT2 IGF2 ISLR ITGA6 ITGB8 KRT18 LAMA2 LRRC32 MCAM NDNF NRP2 NRXN3 PCDH10 POSTN PTN SERPINE2 TENM2 TINAGL1 TNXB WISP2	7.70655251414343e-06	0.0270473328324568
multicellular organism development	GO:0007275	ACAN ACKR3 ACTA2 ACTG2 ADAM19 ADAMTS5 ALPL ARHGDIB BEX1 BST2 CADM1 CD24 CD4 CD9 CHI3L1 CHRM2 COL12A1 COL18A1 COL4A1 COL5A3 COMP CRLF1 CSNK2B DAAM2 DDX39B DSP EDNRA EFHD1 EPHA5 ETV1 EYA2 FLG FLRT2 FOXE1 FOXS1 GPC6 HEYL HMOX1 IGF2 ITGA6 ITGB8 JAG1 JPH2 KCNK2 KRT14 KRT18 KRT19 LAMA2 LUM MAB21L2 MAF MCAM MKX MYOCD NDNF NEFM NES NOTCH3 NRP2 NRXN3 OXTR PAPPA2 PCDH10 PENK POSTN PPL PTGIS PTN SCN9A SEMA3C SERPINE2 SSTR1 SULF1 TCF7 TENM2 UNC5B VLDLR WNT16	8.21417391771554e-06	0.0155254777070064
anatomical structure development	GO:0048856	ACAN ACKR3 ACTA2 ACTG2 ADAM19 ADAMTS5 ALPL ARHGDIB BEX1 BST2 CADM1 CD24 CD36 CD4 CD9 CHI3L1 CHRM2 COL12A1 COL18A1 COL4A1 COL5A3 COMP CRLF1 CSNK2B DAAM2 DDX39B DSP EDNRA EFHD1 EPHA5 ETV1 EYA2 FLG FLRT2 FOXE1 FOXS1 GPC6 HEYL HMOX1 IER3 IGF2 ITGA6 ITGB8 JAG1 JPH2 KCNK2 KRT14 KRT18 KRT19 LAMA2 LMOD1 LUM MAB21L2 MAF MCAM MKX MYOCD NDNF NEFM NES NOTCH3 NRP2 NRXN3 OXTR PAPPA2 PCDH10 PENK PID1 POSTN PPL PTGIS PTN SCN9A SEMA3C SERPINE2 SSTR1 SULF1 TCF7 TENM2 UNC5B VLDLR WNT16	9.86273269335117e-06	0.0149689667761957
system development	GO:0048731	ACAN ACKR3 ACTA2 ACTG2 ADAM19 ADAMTS5 ALPL BEX1 CD24 CD4 CD9 CHI3L1 CHRM2 COL12A1 COL18A1 COL4A1 COL5A3 COMP CRLF1 CSNK2B DDX39B DSP EDNRA EFHD1 EPHA5 ETV1 FLG FLRT2 FOXE1 FOXS1 GPC6 HEYL HMOX1 IGF2 ITGA6 ITGB8 JAG1 JPH2 KCNK2 KRT14 KRT18 KRT19 LAMA2 LUM MAB21L2 MAF MCAM MKX MYOCD NDNF NEFM NES NOTCH3 NRP2 NRXN3 OXTR PAPPA2 PCDH10 PENK POSTN PPL PTGIS PTN SEMA3C SERPINE2 SSTR1 SULF1 TCF7 TENM2 UNC5B VLDLR WNT16	1.15742202003377e-05	0.0161001788908766
tissue development	GO:0009888	ACTA2 ACTG2 ALPL CD24 CHI3L1 COL12A1 COL18A1 COL4A1 COMP CRLF1 CSNK2B DDX39B DSP EDNRA EYA2 FLG FOXE1 GPC6 HEYL ITGA6 ITGB8 JAG1 JPH2 KCNK2 KRT14 KRT18 KRT19 LUM MAF MYOCD NRP2 POSTN PPL PTGIS PTN SEMA3C SERPINE2 SULF1 TCF7 WNT16	2.16535098607059e-05	0.0213447171824973
animal organ development	GO:0048513	ACTA2 ACTG2 ADAM19 ADAMTS5 ALPL CD24 CD4 CD9 CHI3L1 COL18A1 COL4A1 COL5A3 COMP CRLF1 CSNK2B DDX39B DSP EDNRA EPHA5 ETV1 FLG FLRT2 FOXE1 GPC6 HEYL HMOX1 IGF2 ITGA6 ITGB8 JAG1 JPH2 KCNK2 KRT14 KRT18 KRT19 LAMA2 LUM MAB21L2 MAF MKX MYOCD NES NOTCH3 NRP2 OXTR PAPPA2 PPL PTGIS PTN SEMA3C SERPINE2 SSTR1 SULF1 TCF7 VLDLR WNT16	6.85799520479825e-05	0.0170783775541324
