Term	ID	Genes	Adj.pvalue	Enrichment
extracellular matrix organization	GO:0030198	A2M ACAN ADAM12 ADAM19 ADAMTS5 ADAMTSL4 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL5A3 COL8A2 COMP DCN DPP4 ELN FBLN1 FLRT2 GAS6 HAPLN1 ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 LAMA2 LOXL3 LUM MFAP2 MFAP5 MMP1 MMP2 MMP3 NDNF NOTCH1 POSTN SCUBE3 SPP1 SULF1 SULF2 TGFB2 TNXB VCAM1	6.30630025682691e-16	0.140672782874618
regulation of cell migration	GO:0030334	ACKR3 ARHGDIB BST2 CAMK1D CEMIP CMKLR1 COL18A1 CSNK2B CXCL12 CYGB DCN DOCK10 DPYSL3 ENPP2 F2R FGF1 FGF7 FLRT2 FLT1 GAS6 HGF HMOX1 HSPB1 IFITM1 IGFBP3 ILK ITGA5 ITGA6 ITGB3 JAG1 LAMA2 LDB2 LPAR1 LRRC15 MCAM MYLK MYOCD NBL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PTN RAC2 RELN SEMA3C SERPINE2 SLC9A3R1 SPHK1 SULF1 TGFB2 TNFAIP6 VCL VEGFA	8.31715418193411e-12	0.0842857142857143
tissue morphogenesis	GO:0048729	ACTA2 ACTG2 ADAMTS12 AJAP1 ALDH1A3 ANKRD1 CELSR1 COL11A1 COL4A1 CSNK2B DSP EDNRA EPHA4 EYA2 FGF1 FGF7 FOXE1 FZD4 FZD7 GCNT1 GCNT4 GDNF GPC6 HEG1 HES1 HEYL HGF ID4 ILK INHBA ITGA5 ITGB3 JAG1 KIF26B MYLK NOTCH1 PBX1 PLXND1 PSME2 RBPJ SEMA3C SLC9A3R1 SOX11 SOX4 STAT1 SULF1 TBX2 TBX3 TGFB2 VASP VCL VEGFA VPS52 WNK4 WNT16	8.31715418193411e-12	0.0891410048622366
tube development	GO:0035295	ADAMTS12 BRIP1 CD24 CELSR1 CHI3L1 CLMP COL4A1 CRLF1 CSNK2B EDNRA EPHA4 FGF1 FGF7 FOXE1 GDNF HEG1 HES1 HEYL ILK ITGA6 ITGB3 JAG1 KIF26B LOXL3 MYOCD NFIB NOTCH1 OXTR PBX1 PDGFC PDGFRB PLXNA2 PLXND1 PTN RARB RBP4 RBPJ SDC1 SEMA3C SERPINE2 SOX11 SOX4 STAT1 TBX2 TBX3 TCF7 TGFB2 VASP VEGFA VPS52 WNK4	5.92607504201355e-11	0.0894736842105263
muscle structure development	GO:0061061	ADAM12 ANKRD1 CFL2 COL11A1 DCN DDX39B DMD DNER DSP ETV1 FGFRL1 FHL1 FHOD3 FZD7 GJA1 HEG1 HES1 HEYL IGF2 IGFBP3 ILK ITGA11 ITGA7 JAG1 JPH2 KCNK2 KRT19 LAMA2 LDB3 LMOD1 MKX MYLK MYOCD NOTCH1 NR2F2 PDGFRB PITX1 RARB RBM24 RBP4 RBPJ SDC1 SIK1 SMYD3 SOX11 TAGLN TBX2 TBX3 TGFB2 VEGFA	4.39565071661917e-10	0.0854700854700855
blood vessel development	GO:0001568	ACKR3 ACTA2 ADM2 CHI3L1 COL18A1 COL4A1 COL4A2 COL8A2 CSPG4 DCN EDNRA ENPP2 FGF1 FLT1 FOXS1 FZD4 HEG1 HES1 HGF HMOX1 HSPB1 ITGA5 ITGB3 ITGB8 JAG1 MCAM MMP2 MYLK MYOCD NDNF NOTCH1 NOTCH3 NR2F2 NRP2 PDGFRB PLCD1 PLXND1 PTGIS PTN RBPJ SEMA3C SOX4 SPHK1 STAT1 SULF1 TBX2 TBX3 TGFB2 UNC5B VEGFA	5.3683003236096e-10	0.0850340136054422
response to wounding	GO:0009611	A2M AJAP1 C1QTNF1 CD36 CD9 CDH3 CELSR1 CSRP1 DCN DHFR DPYSL3 DSP EPHA4 F2R FBLN1 FGF7 FZD7 GAS6 GJA1 HMOX1 HSPB1 ILK ITGA5 ITGB3 ITPR3 KCNK2 MCAM MYL9 MYLK NDNF NOTCH1 PAPSS2 PDGFC PDGFRB POSTN PRKG1 RAC2 SDC1 SERPINB2 SERPINE2 SPP1 SULF2 SYT7 TFPI TFPI2 TGFB2 THBD TRPC6 VCL WFDC1	6.07753901255342e-10	0.0786163522012579
renal system development	GO:0072001	ACTA2 CD24 COL4A1 CRLF1 DCN EPHA4 FGF1 GCNT1 GCNT4 GDNF HES1 HEYL ILK ITGA6 JAG1 KIF26B MME MYOCD NOTCH1 NOTCH3 PBX1 PDGFRB RARB RBP4 SDC1 SOX11 SOX4 STAT1 SULF1 SULF2 TGFB2 VEGFA WNK4	3.63049321883756e-09	0.118279569892473
skeletal system development	GO:0001501	ACAN ADAMTS12 ALPL BMP8B CHI3L1 CMKLR1 COL11A1 COL12A1 COMP DHRS3 FAM20C FGFRL1 HAPLN1 HAPLN3 IGF2 ITGB8 LRRC17 LUM MAF MMP2 NFIB PAPPA2 PAPSS2 PBX1 PDGFC PITX1 POSTN PRELP RARB RBP4 SOX11 SOX4 SULF1 SULF2 TBX3 TGFB2 TRPS1	1.13788440540368e-06	0.0769230769230769
response to growth factor	GO:0070848	ADAMTS12 ANKRD1 BMP8B CLEC3B COL4A2 DCN DDIT4 FAM20C FGF1 FGF7 FGFRL1 FLRT2 FLT1 FZD4 GAS6 GREM2 HES1 HEYL HGF HSPA1A HSPB1 ILK ITGA5 ITGB3 LTBP2 LUM MEIS2 MXRA5 MYOCD NBL1 NOTCH1 NRP2 PDGFRB PEG10 PENK POSTN PTN RBPJ SOX11 SULF1 SULF2 TGFB2 VCAM1 VEGFA ZNF423	1.43968543448322e-06	0.0693374422187981
homotypic cell-cell adhesion	GO:0034109	C1QTNF1 CD9 CSRP1 DSG2 DSP GAS6 HSPB1 ILK ITGB3 JUP MYL9 PRKG1 SERPINE2 VCL	2.03840056453341e-06	0.189189189189189
muscle system process	GO:0003012	ACTA2 ACTG2 CALD1 CAMTA2 CHRM2 CNN1 DDX39B DMD DSG2 DSP EDNRA F2R GDNF GJA1 GTF2IRD1 HMOX1 ITGA1 JUP KCNMA1 LMOD1 MYL9 MYLK MYOCD OXTR PPP1R13L PRKG1 SNTB1 SPHK1 SULF1 SULF2 TPM2 VCL	2.00066020135091e-05	0.0771084337349398
platelet degranulation	GO:0002576	A2M CD36 CD9 CLEC3B CLU ENDOD1 GAS6 HGF IGF2 ISLR ITGB3 LGALS3BP PCDH7 TGFB2 VCL VEGFA	2.46822993184539e-05	0.126984126984127
